reaction_id,temperature_value,temperature_units,REAGENT_0_SMILES,REAGENT_0_Mole_Value,REAGENT_0_Mole_Units,CATALYST_0_SMILES,CATALYST_0_Mole_Value,CATALYST_0_Mole_Units,SOLVENT_0_SMILES,SOLVENT_0_Volume_Value,SOLVENT_0_Volume_Units,CATALYST_1_SMILES,CATALYST_1_Mole_Value,CATALYST_1_Mole_Units,REACTANT_0_SMILES,REACTANT_0_Mole_Value,REACTANT_0_Mole_Units,REACTANT_1_SMILES,REACTANT_1_Mole_Value,REACTANT_1_Mole_Units,INTERNAL_STANDARD_0_SMILES,INTERNAL_STANDARD_0_Mole_Value,INTERNAL_STANDARD_0_Mole_Units,Product_0_SMILES,Product_0_Yield_Percent,Product_1_SMILES
ord-9126c5dbf09044ee807b2ab0363ef565,90,CELSIUS,O=C([O-])C(C)(C)C.[K+],0.045,MILLIMOLE,P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,0.75,MICROMOLE,CCCCOC(C)=O,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,0.69,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-d766bb87cc0445a2b0dd5d86700a8167,90,CELSIUS,O=C([O-])C(C)(C)C.[K+],0.045,MILLIMOLE,P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,0.75,MICROMOLE,CC1=CC=C(C)C=C1,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,0.52,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-9de363f664df4f8bbeded3677046adc6,90,CELSIUS,O=C([O-])C(C)(C)C.[K+],0.045,MILLIMOLE,C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,0.75,MICROMOLE,CC(N(C)C)=O,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,0.56,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-8a2ecc9d64d644fc9efe156b7352b091,90,CELSIUS,O=C([O-])C(C)(C)C.[K+],0.045,MILLIMOLE,C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,0.75,MICROMOLE,CCCC#N,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,0.5,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-3ad3131e3c9f439c8767ec9b2c9463da,90,CELSIUS,O=C([O-])C(C)(C)C.[K+],0.045,MILLIMOLE,C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,0.75,MICROMOLE,CCCCOC(C)=O,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,0,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-7f372fcd8b5743258b91aac5b8bcdc52,90,CELSIUS,O=C([O-])C(C)(C)C.[K+],0.045,MILLIMOLE,C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,0.75,MICROMOLE,CC1=CC=C(C)C=C1,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,1.3,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-1c15c8ebd51d432f998f543953068ee2,90,CELSIUS,O=C([O-])C.[Cs+],0.045,MILLIMOLE,P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,0.75,MICROMOLE,CC(N(C)C)=O,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,8.79,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-b407aa3686e046759def6c0eb8e9988d,90,CELSIUS,O=C([O-])C.[Cs+],0.045,MILLIMOLE,P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,0.75,MICROMOLE,CCCC#N,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,2.12,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-83fe318b928a4012a55ad0f69fe8369b,90,CELSIUS,O=C([O-])C.[Cs+],0.045,MILLIMOLE,P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,0.75,MICROMOLE,CCCCOC(C)=O,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,0,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-0af37ff03a9f4c1c9968d9cde3a938d3,90,CELSIUS,O=C([O-])C.[Cs+],0.045,MILLIMOLE,P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,0.75,MICROMOLE,CC1=CC=C(C)C=C1,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,0,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-c2a40e04d3d545ff9113035a6c939bca,90,CELSIUS,O=C([O-])C.[Cs+],0.045,MILLIMOLE,C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,0.75,MICROMOLE,CC(N(C)C)=O,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,1.08,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-0078f3b3d2dc4df885f36cd5ef1f3ca1,90,CELSIUS,O=C([O-])C.[Cs+],0.045,MILLIMOLE,C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,0.75,MICROMOLE,CCCC#N,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,0.83,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-097540bb3e5f4303bcf7ab05b193a210,90,CELSIUS,O=C([O-])C.[Cs+],0.045,MILLIMOLE,C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,0.75,MICROMOLE,CCCCOC(C)=O,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,0.61,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-ad6f50c81a814a7faca89346af042422,90,CELSIUS,O=C([O-])C.[Cs+],0.045,MILLIMOLE,C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,0.75,MICROMOLE,CC1=CC=C(C)C=C1,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,1.89,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-25ca02ffb2714effa364db38f7dfe224,90,CELSIUS,O=C([O-])C.[K+],0.045,MILLIMOLE,P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,0.75,MICROMOLE,CC(N(C)C)=O,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,3.87,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-79d09822cd574a28b08a9e4fa87638a6,90,CELSIUS,O=C([O-])C.[K+],0.045,MILLIMOLE,P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,0.75,MICROMOLE,CCCC#N,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,1.21,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-77beb15f3f9645b6bfb91f66963321fe,90,CELSIUS,O=C([O-])C.[K+],0.045,MILLIMOLE,P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,0.75,MICROMOLE,CCCCOC(C)=O,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,0,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-bcb9280c3c2949d684d7d48bd0005af4,90,CELSIUS,O=C([O-])C.[K+],0.045,MILLIMOLE,P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,0.75,MICROMOLE,CC1=CC=C(C)C=C1,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,0.3,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-6c877ac62e974c0f98d42881599e0aa1,90,CELSIUS,O=C([O-])C.[K+],0.045,MILLIMOLE,C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,0.75,MICROMOLE,CC(N(C)C)=O,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,1.33,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-70156b42c7c84c45966878243360b710,90,CELSIUS,O=C([O-])C.[K+],0.045,MILLIMOLE,C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,0.75,MICROMOLE,CCCC#N,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,1.06,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-92b4fbe389e4435bbc1cca3335c49268,90,CELSIUS,O=C([O-])C.[K+],0.045,MILLIMOLE,C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,0.75,MICROMOLE,CCCCOC(C)=O,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,0.93,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-2105ca6c41a546b79632cdd27572e347,90,CELSIUS,O=C([O-])C.[K+],0.045,MILLIMOLE,C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,0.75,MICROMOLE,CC1=CC=C(C)C=C1,98.039215,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,2.18,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-13e95b75694a4b0b8cc45b4e4261f587,90,CELSIUS,O=C([O-])C(C)(C)C.[Cs+],0.045,MILLIMOLE,P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,0.75,MICROMOLE,CC(N(C)C)=O,263.1579,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,13.68,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-92be653e32444d2b9da3066224586964,90,CELSIUS,O=C([O-])C(C)(C)C.[Cs+],0.045,MILLIMOLE,P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,0.75,MICROMOLE,CCCC#N,263.1579,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,2.19,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
ord-bf92417dd28047c1bf6fc23bfa9c08a2,90,CELSIUS,O=C([O-])C(C)(C)C.[Cs+],0.045,MILLIMOLE,P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,0.75,MICROMOLE,CCCCOC(C)=O,263.1579,MICROLITER,C=C[CH2-].C=C[CH2-].Cl[Pd+].Cl[Pd+],0.3375,MICROMOLE,Cn1cnc(C#N)c1,0.03,MILLIMOLE,Fc1ccccc1Br,0.015,MILLIMOLE,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,0.015,MILLIMOLE,N#CC1=C(C2=CC=CC=C2F)N(C)C=N1,0.94,CC(C1=CC=C(C2=CC=C(C(C)(C)C)C=C2)C=C1)(C)C
